rxn_smiles,rxn_type,R,P,isDel
[O]OCOCCC>>[CH2]CCOCOO,1a-1_8mem,[O]OCOCCC,[CH2]CCOCOO,False
[O]OC(C)OCCC>>[CH2]CCOC(C)OO,2a-1_8mem,[O]OC(C)OCCC,[CH2]CCOC(C)OO,False
[O]OCOCCCC>>C[CH]CCOCOO,1a-2_8mem,[O]OCOCCCC,C[CH]CCOCOO,False
[O]OC(C)OCCCC>>C[CH]CCOC(C)OO,2a-2_8mem,[O]OC(C)OCCCC,C[CH]CCOC(C)OO,False
[O]OCOCCC(C)C>>C[C](C)CCOCOO,1a-3_8mem,[O]OCOCCC(C)C,C[C](C)CCOCOO,False
[O]OC(C)(C)OCCC>>[CH2]CCOC(C)(C)OO,3a-1_8mem,[O]OC(C)(C)OCCC,[CH2]CCOC(C)(C)OO,False
[O]OC(C)(C)OCCCC>>C[CH]CCOC(C)(C)OO,3a-2_8mem,[O]OC(C)(C)OCCCC,C[CH]CCOC(C)(C)OO,False
[O]OC(C)OCCC(C)C>>C[C](C)CCOC(C)OO,2a-3_8mem,[O]OC(C)OCCC(C)C,C[C](C)CCOC(C)OO,False
[O]OC(C)(C)OCCC(C)C>>C[C](C)CCOC(C)(C)OO,3a-3_8mem,[O]OC(C)(C)OCCC(C)C,C[C](C)CCOC(C)(C)OO,False
[O]OCCOCC>>[CH2]COCCOO,1-1_8mem,[O]OCCOCC,[CH2]COCCOO,False
[O]OC(C)COCC>>[CH2]COCC(C)OO,2-1_8mem,[O]OC(C)COCC,[CH2]COCC(C)OO,False
[O]OCCOCCC>>C[CH]COCCOO,1-2_8mem,[O]OCCOCCC,C[CH]COCCOO,False
[O]OC(C)COCCC>>C[CH]COCC(C)OO,2-2_8mem,[O]OC(C)COCCC,C[CH]COCC(C)OO,False
[O]OCCOCC(C)C>>C[C](C)COCCOO,1-3_8mem,[O]OCCOCC(C)C,C[C](C)COCCOO,False
[O]OC(C)(C)COCC>>[CH2]COCC(C)(C)OO,3-1_8mem,[O]OC(C)(C)COCC,[CH2]COCC(C)(C)OO,False
[O]OC(C)(C)COCCC>>C[CH]COCC(C)(C)OO,3-2_8mem,[O]OC(C)(C)COCCC,C[CH]COCC(C)(C)OO,False
[O]OC(C)COCC(C)C>>C[C](C)COCC(C)OO,2-3_8mem,[O]OC(C)COCC(C)C,C[C](C)COCC(C)OO,False
[O]OC(C)(C)COCC(C)C>>C[C](C)COCC(C)(C)OO,3-3_8mem,[O]OC(C)(C)COCC(C)C,C[C](C)COCC(C)(C)OO,False
[O]OCCCOC>>[CH2]OCCCOO,1-1a_8mem,[O]OCCCOC,[CH2]OCCCOO,False
[O]OC(C)CCOC>>[CH2]OCCC(C)OO,2-1a_8mem,[O]OC(C)CCOC,[CH2]OCCC(C)OO,False
[O]OCCCOCC>>C[CH]OCCCOO,1-2a_8mem,[O]OCCCOCC,C[CH]OCCCOO,False
[O]OC(C)CCOCC>>C[CH]OCCC(C)OO,2-2a_8mem,[O]OC(C)CCOCC,C[CH]OCCC(C)OO,False
[O]OCCCOC(C)C>>C[C](C)OCCCOO,1-3a_8mem,[O]OCCCOC(C)C,C[C](C)OCCCOO,False
[O]OC(C)(C)CCOC>>[CH2]OCCC(C)(C)OO,3-1a_8mem,[O]OC(C)(C)CCOC,[CH2]OCCC(C)(C)OO,False
[O]OC(C)(C)CCOCC>>C[CH]OCCC(C)(C)OO,3-2a_8mem,[O]OC(C)(C)CCOCC,C[CH]OCCC(C)(C)OO,False
[O]OC(C)CCOC(C)C>>C[C](C)OCCC(C)OO,2-3a_8mem,[O]OC(C)CCOC(C)C,C[C](C)OCCC(C)OO,False
[O]OC(C)(C)CCOC(C)C>>C[C](C)OCCC(C)(C)OO,3-3a_8mem,[O]OC(C)(C)CCOC(C)C,C[C](C)OCCC(C)(C)OO,False
[O]OCCCCCOC>>CO[CH]CCCCOO,1-2a_8mem,[O]OCCCCCOC,CO[CH]CCCCOO,False
[O]OC(C)CCCCOC>>CO[CH]CCCC(C)OO,2-2a_8mem,[O]OC(C)CCCCOC,CO[CH]CCCC(C)OO,False
[O]OCCCCC(C)OC>>CO[C](C)CCCCOO,1-3a_8mem,[O]OCCCCC(C)OC,CO[C](C)CCCCOO,False
[O]OC(C)CCCC(C)OC>>CO[C](C)CCCC(C)OO,2-3a_8mem,[O]OC(C)CCCC(C)OC,CO[C](C)CCCC(C)OO,False
[O]OC(C)(C)CCCCOC>>CO[CH]CCCC(C)(C)OO,3-2a_8mem,[O]OC(C)(C)CCCCOC,CO[CH]CCCC(C)(C)OO,False
[O]OC(C)(C)CCCC(C)OC>>CO[C](C)CCCC(C)(C)OO,3-3a_8mem,[O]OC(C)(C)CCCC(C)OC,CO[C](C)CCCC(C)(C)OO,False
[O]OC(CCCC)OC>>[CH2]CCCC(OC)OO,2a-1_8mem,[O]OC(CCCC)OC,[CH2]CCCC(OC)OO,False
[O]OC(CCCCC)OC>>C[CH]CCCC(OC)OO,2a-2_8mem,[O]OC(CCCCC)OC,C[CH]CCCC(OC)OO,False
[O]OC(C)(CCCC)OC>>[CH2]CCCC(C)(OC)OO,3a-1_8mem,[O]OC(C)(CCCC)OC,[CH2]CCCC(C)(OC)OO,False
[O]OC(C)(CCCCC)OC>>C[CH]CCCC(C)(OC)OO,3a-2_8mem,[O]OC(C)(CCCCC)OC,C[CH]CCCC(C)(OC)OO,False
[O]OC(C)(CCCC(C)C)OC>>COC(C)(CCC[C](C)C)OO,3a-3_8mem,[O]OC(C)(CCCC(C)C)OC,COC(C)(CCC[C](C)C)OO,False
[O]OC(CCCC(C)C)OC>>COC(CCC[C](C)C)OO,2a-3_8mem,[O]OC(CCCC(C)C)OC,COC(CCC[C](C)C)OO,False
